id;version;level;name;minimal_role;parent_id;created_at;updated_at;deleted_at
1;9268;18146;truly whoa yahoo;POWER_VYKYUSER;25267;2024-01-02T00:14:01;2024-01-01T12:32:26;2024-01-01T04:18:51
2;23652;31360;bewail;VYKYUSER;17088;2024-01-01T20:41:12;2024-01-01T14:30:47;2024-01-01T19:40:42
3;5992;12932;cwtch dental;POWER_VYKYUSER;7916;2024-01-01T04:28:44;2024-01-02T00:02:36;2024-01-01T14:43:46
4;31549;15274;qua;VYKYUSER;5151;2024-01-01T04:33:08;2024-01-01T02:38:09;2024-01-01T04:34:32
5;3599;22373;want;ADMIN;11178;2024-01-01T22:12:28;2024-01-01T16:55:55;2024-01-01T14:16:11
6;6021;696;and until;VYKYUSER;27621;2024-01-01T06:08:12;2024-01-01T06:06:11;2024-01-02T01:15:20
7;20113;13810;oof shoo retell;ADMIN;24084;2024-01-01T08:25:23;2024-01-01T12:34:34;2024-01-01T04:09:49
8;24344;7585;introduce honestly;POWER_VYKYUSER;5787;2024-01-01T23:01:11;2024-01-01T16:21:36;2024-01-01T15:34:02
9;17820;29705;down;ADMIN;19207;2024-01-01T16:55:11;2024-01-01T11:34:34;2024-01-01T05:01:25
10;872;4368;vindicate anenst;POWER_VYKYUSER;1132;2024-01-02T00:31:55;2024-01-01T07:32:10;2024-01-01T06:34:35
