id;mime;img;img_content_type;active;activation_at;created_at;deleted_at
1;yum honestly briefly;../fake-data/blob/hipster.png;image/png;true;2024-01-01T18:59:22;2024-01-01T15:27:31;2024-01-01T15:22:27
2;uh-huh whoa;../fake-data/blob/hipster.png;image/png;false;2024-01-01T14:34:33;2024-01-01T08:40:31;2024-01-01T06:43:14
3;frenetically aha owlishly;../fake-data/blob/hipster.png;image/png;false;2024-01-01T09:56:05;2024-01-01T03:36:13;2024-01-01T17:49:35
4;whoever diner excepting;../fake-data/blob/hipster.png;image/png;true;2024-01-01T05:37:12;2024-01-01T12:50:22;2024-01-01T10:42:48
5;gild even;../fake-data/blob/hipster.png;image/png;true;2024-01-01T13:59:48;2024-01-01T21:47:55;2024-01-01T07:31:36
6;holiday;../fake-data/blob/hipster.png;image/png;false;2024-01-01T22:36:16;2024-01-01T13:48:52;2024-01-02T01:13:48
7;yum phony leading;../fake-data/blob/hipster.png;image/png;true;2024-01-01T19:09:54;2024-01-01T21:32:02;2024-01-01T10:47:29
8;once wearily gleefully;../fake-data/blob/hipster.png;image/png;false;2024-01-01T15:15:09;2024-01-01T04:55:02;2024-01-01T09:46:03
9;including;../fake-data/blob/hipster.png;image/png;false;2024-01-02T01:42:37;2024-01-01T15:05:48;2024-01-01T21:56:06
10;accidentally whoever made-up;../fake-data/blob/hipster.png;image/png;false;2024-01-01T11:57:54;2024-01-01T21:33:42;2024-01-01T17:42:57
