id;config_item;version;value;created_at;updated_at;deleted_at
1;VYKYUSER_EDIT_POST_EXPIRES;20648;times;2024-01-01T19:47:38;2024-01-01T05:56:35;2024-01-01T17:34:05
2;VYKYUSER_EDIT_POST_EXPIRES;29761;boo roasted;2024-01-01T18:48:42;2024-01-01T20:41:41;2024-01-01T05:10:29
3;VYKYUSER_EDIT_POST_EXPIRES;9607;minor;2024-01-01T09:27:07;2024-01-01T12:03:53;2024-01-02T01:29:08
4;HIDDEN_POST_TEXT;21964;quarrelsomely require including;2024-01-01T06:01:15;2024-01-01T14:31:34;2024-01-01T19:03:11
5;VYKYUSER_EDIT_POST_EXPIRES;10735;whereas per;2024-01-01T14:15:40;2024-01-01T19:16:08;2024-01-01T11:42:26
6;MAX_IMAGES_CNT_PER_POST;29323;international;2024-01-01T04:38:53;2024-01-01T17:30:00;2024-01-01T11:40:37
7;HIDDEN_POST_TEXT;26165;emerald not hm;2024-01-01T16:43:09;2024-01-01T18:19:25;2024-01-01T04:29:37
8;MAX_IMAGES_CNT_PER_POST;26407;round colloquy intently;2024-01-01T13:26:59;2024-01-01T11:47:33;2024-01-01T04:10:53
9;HIDDEN_POST_TEXT;8678;ouch;2024-01-01T06:04:00;2024-01-01T06:56:34;2024-01-02T00:19:51
10;VYKYUSER_EDIT_POST_EXPIRES;9499;unaccountably numb what;2024-01-01T15:43:12;2024-01-01T13:02:18;2024-01-01T11:45:21
