id;version;level;title;content;status;minimal_role;parent_id;upvotes;downvotes;created_at;updated_at;deleted_at
1;10265;28413;slate ack;deeply;EXPELLED;READER;3393;11540;26740;2024-01-01T16:24:39;2024-01-01T10:29:32;2024-01-01T21:35:02
2;27615;5352;tie hideous;sizzling duh dueling;EXPELLED;VYKYUSER;1611;31343;19625;2024-01-01T19:58:56;2024-01-01T09:12:13;2024-01-01T14:09:11
3;19709;16512;downlink heavily that;barracks provided prompt;EXPELLED;ADMIN;4536;13593;14506;2024-01-01T19:16:45;2024-01-01T23:57:03;2024-01-01T23:13:54
4;10892;19012;blindly who;highlight posh;EXPELLED;ADMIN;18015;27762;11266;2024-01-02T02:14:48;2024-01-01T21:33:31;2024-01-01T15:31:31
5;14181;6822;attribute easily;abbreviation pussyfoot;REGULAR;VYKYUSER;9011;23281;27242;2024-01-01T07:21:24;2024-01-01T06:01:18;2024-01-01T09:22:15
6;2346;31753;woot radicalise till;instance doll;REGULAR;POWER_VYKYUSER;19834;16737;26672;2024-01-02T02:04:19;2024-01-01T16:22:45;2024-01-01T23:22:54
7;11624;8414;infinite snoopy;greatly yesterday sadly;EXPELLED;ADMIN;1020;15135;21584;2024-01-01T07:31:12;2024-01-02T00:01:20;2024-01-01T04:41:24
8;17737;9916;slowly tom-tom over;bustling next so;REGULAR;READER;6045;7877;16033;2024-01-01T11:39:12;2024-01-01T22:55:00;2024-01-01T19:51:42
9;25934;6;sock;shocking successfully;REGULAR;ADMIN;7199;2387;12162;2024-01-01T23:38:32;2024-01-02T01:27:51;2024-01-01T09:54:26
10;15830;24444;lightly;weary;REGULAR;ADMIN;17018;26874;29007;2024-01-01T21:42:17;2024-01-01T17:43:48;2024-01-01T11:18:49
