id;version;up;created_at;updated_at;deleted_at
1;31344;true;2024-01-01T23:18:33;2024-01-01T18:50:37;2024-01-01T02:37:28
2;14600;true;2024-01-01T13:32:01;2024-01-01T13:03:50;2024-01-01T07:07:10
3;16937;false;2024-01-01T18:50:10;2024-01-01T08:14:27;2024-01-01T09:06:01
4;1931;false;2024-01-01T17:29:58;2024-01-01T16:09:04;2024-01-01T08:44:39
5;25105;true;2024-01-01T18:34:38;2024-01-01T21:55:15;2024-01-01T16:08:23
6;30568;false;2024-01-01T07:59:32;2024-01-01T05:02:51;2024-01-02T01:35:56
7;10972;false;2024-01-01T15:50:49;2024-01-01T18:16:40;2024-01-01T11:46:34
8;29950;true;2024-01-01T20:40:49;2024-01-01T18:51:44;2024-01-01T09:50:31
9;9426;true;2024-01-01T08:59:57;2024-01-01T02:52:09;2024-01-02T00:11:38
10;25428;true;2024-01-01T07:03:13;2024-01-01T20:25:21;2024-01-02T02:08:16
