id;version;name;description;minimal_role;status;created_at;updated_at;deleted_at
1;1405;atop;scalp instantly;MODERATOR;REGULAR;2024-01-01T08:28:18;2024-01-02T00:54:55;2024-01-01T17:58:50
2;11303;seldom;brooch but triumph;ADMIN;EXPELLED;2024-01-01T04:31:52;2024-01-02T00:19:43;2024-01-01T10:10:31
3;10083;misfile the hmph;disseminate inquisitively via;POWER_VYKYUSER;HIDDEN;2024-01-01T05:37:54;2024-01-01T13:33:07;2024-01-01T04:09:30
4;10152;whether die than;mulch wildly likewise;MODERATOR;REGULAR;2024-01-01T07:15:55;2024-01-01T11:51:18;2024-01-01T10:31:33
5;19556;yahoo up;damp;MODERATOR;REGULAR;2024-01-01T20:56:18;2024-01-01T12:53:31;2024-01-01T17:53:19
6;12227;hungrily angrily;hmph down meanwhile;ADMIN;EXPELLED;2024-01-01T05:32:49;2024-01-01T04:46:04;2024-01-02T00:50:07
7;6279;ouch periodic upright;shoat clearly once;VYKYUSER;EXPELLED;2024-01-01T05:59:10;2024-01-01T18:27:11;2024-01-01T13:32:46
8;24647;that nestling urgently;marines;ADMIN;HIDDEN;2024-01-01T14:54:40;2024-01-01T23:58:18;2024-01-01T05:03:36
9;27720;ah unhappy;overindulge seafood;POWER_VYKYUSER;REGULAR;2024-01-01T22:43:08;2024-01-01T07:01:49;2024-01-01T18:04:31
10;24155;opposite bitter valiantly;cruelly bright;READER;EXPELLED;2024-01-01T09:12:21;2024-01-01T17:33:42;2024-01-01T11:54:58
